time,open,high,low,close,volume
2023-12-15,1.5,1.5,1.5,1.5,0
2023-12-18,1.5,1.5,1.5,1.5,0
2023-12-19,1.5,1.5,1.5,1.5,0
2023-12-20,1.5,1.5,1.5,1.5,0
2023-12-21,1.5,1.5,1.5,1.5,0
2023-12-22,1.5,1.5,1.5,1.5,0
2023-12-25,1.5,1.5,1.5,1.5,0
2023-12-26,1.5,1.5,1.5,1.5,0
2023-12-27,1.5,1.5,1.5,1.5,0
2023-12-28,1.5,1.5,1.5,1.5,0
2023-12-29,1.5,1.5,1.5,1.5,0
2024-01-02,1.5,1.5,1.5,1.5,0
2024-01-03,1.5,1.5,1.5,1.5,0
2024-01-04,1.5,1.5,1.5,1.5,0
2024-01-05,1.5,1.5,1.5,1.5,0
2024-01-08,1.5,1.5,1.5,1.5,0
2024-01-09,1.5,1.5,1.5,1.5,0
2024-01-10,1.5,1.5,1.5,1.5,0
2024-01-11,1.5,1.5,1.5,1.5,0
2024-01-12,1.5,1.5,1.5,1.5,0
2024-01-15,1.5,1.5,1.5,1.5,0
2024-01-16,1.5,1.5,1.5,1.5,0
2024-01-17,1.5,1.5,1.5,1.5,0
2024-01-18,1.5,1.5,1.5,1.5,0
2024-01-19,1.5,1.5,1.5,1.5,0
2024-01-22,1.5,1.5,1.5,1.5,0
2024-01-23,1.5,1.5,1.5,1.5,0
2024-01-24,1.5,1.5,1.5,1.5,0
2024-01-25,1.5,1.5,1.5,1.5,0
2024-01-26,1.5,1.5,1.5,1.5,0
2024-01-29,1.5,1.5,1.5,1.5,0
2024-01-30,1.5,1.5,1.5,1.5,0
2024-01-31,1.5,1.5,1.5,1.5,0
2024-02-01,1.5,1.5,1.5,1.5,0
2024-02-02,1.5,1.5,1.5,1.5,0
2024-02-05,1.5,1.5,1.5,1.5,0
2024-02-06,1.5,1.5,1.5,1.5,0
2024-02-07,1.5,1.5,1.5,1.5,0
2024-02-15,1.5,1.5,1.5,1.5,0
2024-02-16,1.5,1.5,1.5,1.5,0
2024-02-19,1.5,1.5,1.5,1.5,0
2024-02-20,1.5,1.5,1.5,1.5,0
2024-02-21,1.5,1.5,1.5,1.5,0
2024-02-22,1.5,1.5,1.5,1.5,0
2024-02-23,1.5,1.5,1.5,1.5,0
2024-02-26,1.5,1.5,1.5,1.5,0
2024-02-27,1.5,1.5,1.5,1.5,0
2024-02-28,1.5,1.5,1.5,1.5,0
2024-02-29,1.5,1.5,1.5,1.5,0
2024-03-01,1.5,1.5,1.5,1.5,0
2024-03-04,1.5,1.5,1.5,1.5,0
2024-03-05,1.5,1.5,1.5,1.5,0
2024-03-06,1.5,1.5,1.5,1.5,0
2024-03-07,1.5,1.5,1.5,1.5,0
2024-03-08,1.5,1.5,1.5,1.5,0
2024-03-11,1.5,1.5,1.5,1.5,0
2024-03-12,1.5,1.5,1.5,1.5,0
2024-03-13,1.5,1.5,1.5,1.5,0
2024-03-14,1.5,1.5,1.5,1.5,0
2024-03-15,1.5,1.5,1.5,1.5,0
2024-03-18,1.5,1.5,1.5,1.5,0
2024-03-19,1.5,1.5,1.5,1.5,0
2024-03-20,1.5,1.5,1.5,1.5,0
2024-03-21,1.5,1.5,1.5,1.5,0
2024-03-22,1.5,1.5,1.5,1.5,0
2024-03-25,1.5,1.5,1.5,1.5,0
2024-03-26,1.5,1.5,1.5,1.5,0
2024-03-27,1.5,1.5,1.5,1.5,0
2024-03-28,1.5,1.5,1.5,1.5,0
2024-03-29,1.5,1.5,1.5,1.5,0
2024-04-01,1.5,1.5,1.5,1.5,0
2024-04-02,1.5,1.5,1.5,1.5,0
2024-04-03,1.5,1.5,1.5,1.5,0
2024-04-04,1.5,1.5,1.5,1.5,0
2024-04-05,1.5,1.5,1.5,1.5,0
2024-04-08,1.5,1.5,1.5,1.5,0
2024-04-09,1.5,1.5,1.5,1.5,0
2024-04-10,1.5,1.5,1.5,1.5,0
2024-04-11,1.5,1.5,1.5,1.5,0
2024-04-12,1.5,1.5,1.5,1.5,0
2024-04-15,1.5,1.5,1.5,1.5,0
2024-04-16,1.5,1.5,1.5,1.5,0
2024-04-17,1.5,1.5,1.5,1.5,0
2024-04-19,1.5,1.5,1.5,1.5,0
2024-04-22,1.5,1.5,1.5,1.5,0
2024-04-23,1.5,1.5,1.5,1.5,0
2024-04-24,1.5,1.5,1.5,1.5,0
2024-04-25,1.5,1.5,1.5,1.5,0
2024-04-26,1.5,1.5,1.5,1.5,0
2024-05-02,1.5,1.5,1.5,1.5,0
2024-05-03,1.5,1.5,1.5,1.5,0
2024-05-06,1.5,1.5,1.5,1.5,0
2024-05-07,1.5,1.5,1.5,1.5,0
2024-05-08,1.5,1.5,1.5,1.5,0
2024-05-09,1.5,1.5,1.5,1.5,0
2024-05-10,1.5,1.5,1.5,1.5,0
2024-05-13,1.5,1.5,1.5,1.5,0
2024-05-14,1.5,1.5,1.5,1.5,0
2024-05-15,1.5,1.5,1.5,1.5,0
2024-05-16,1.5,1.5,1.5,1.5,0
2024-05-17,1.5,1.5,1.5,1.5,0
2024-05-20,1.5,1.5,1.5,1.5,0
2024-05-21,1.5,1.5,1.5,1.5,0
2024-05-22,1.5,1.5,1.5,1.5,0
2024-05-23,1.5,1.5,1.5,1.5,0
2024-05-24,1.5,1.5,1.5,1.5,0
2024-05-27,1.5,1.5,1.5,1.5,0
2024-05-28,1.5,1.5,1.5,1.5,0
2024-05-29,1.5,1.5,1.5,1.5,0
2024-05-30,1.5,1.5,1.5,1.5,0
2024-05-31,1.5,1.5,1.5,1.5,0
2024-06-03,1.5,1.5,1.5,1.5,0
2024-06-04,1.5,1.5,1.5,1.5,0
2024-06-05,1.5,1.5,1.5,1.5,0
2024-06-06,1.5,1.5,1.5,1.5,0
2024-06-07,1.5,1.5,1.5,1.5,0
2024-06-10,1.5,1.5,1.5,1.5,0
2024-06-11,1.5,1.5,1.5,1.5,0
2024-06-12,1.5,1.5,1.5,1.5,0
2024-06-13,1.5,1.5,1.5,1.5,0
2024-06-14,1.5,1.5,1.5,1.5,0
2024-06-17,1.5,1.5,1.5,1.5,0
2024-06-18,1.5,1.5,1.5,1.5,0
2024-06-19,1.5,1.5,1.5,1.5,0
2024-06-20,1.5,1.5,1.5,1.5,0
2024-06-21,1.5,1.5,1.5,1.5,0
2024-06-24,1.5,1.5,1.5,1.5,0
2024-06-25,1.5,1.5,1.5,1.5,0
2024-06-26,1.5,1.5,1.5,1.5,0
2024-06-27,1.5,1.5,1.5,1.5,0
2024-06-28,1.5,1.5,1.5,1.5,0
2024-07-01,1.5,1.5,1.5,1.5,0
2024-07-02,1.5,1.5,1.5,1.5,0
2024-07-03,1.5,1.5,1.5,1.5,0
2024-07-04,1.5,1.5,1.5,1.5,0
2024-07-05,1.5,1.5,1.5,1.5,0
2024-07-08,1.5,1.5,1.5,1.5,0
2024-07-09,1.5,1.5,1.5,1.5,0
2024-07-10,1.5,1.5,1.5,1.5,0
2024-07-11,1.5,1.5,1.5,1.5,0
2024-07-12,1.5,1.5,1.5,1.5,0
2024-07-15,1.5,1.5,1.5,1.5,0
2024-07-16,1.5,1.5,1.5,1.5,0
2024-07-17,1.5,1.5,1.5,1.5,0
2024-07-18,1.5,1.5,1.5,1.5,0
2024-07-19,1.5,1.5,1.5,1.5,0
2024-07-22,1.5,1.5,1.5,1.5,0
2024-07-23,1.5,1.5,1.5,1.5,0
2024-07-24,1.5,1.5,1.5,1.5,0
2024-07-25,1.5,1.5,1.5,1.5,0
